搭乘路線名稱,搭乘附屬路線名稱,搭乘公車路線方向,站序資料,站牌代碼,站間距離
1145,1145,0,1,238222,
1145,1145,0,2,275472,3937.87
1145,1145,0,3,151702,810.75
1145,1145,0,4,308942,2691.42
1145,1145,0,5,238223,267.8
1145,1145,0,6,238065,809.99
1145,1145,0,7,302654,1164.97
1145,1145,0,8,238224,951.85
1145,1145,0,9,290680,1756.95
1145,1145,0,10,151704,2075.65
1145,1145,0,11,292627,1446.43
1145,1145,0,12,292626,984.4
1145,1145,0,13,238226,1203.37
1145,1145,0,14,302066,1264.86
1145,1145,0,15,292624,829.58
1145,1145,0,16,292622,182.56
1145,1145,0,17,292620,467.51
1145,1145,0,18,151707,1946.93
1145,1145,0,19,286720,657.65
1145,1145,0,20,277886,726.11
1145,1145,0,21,251470,580.64
1145,1145,0,22,238228,787.91
1145,1145,0,23,238230,1338.41
1145,1145,0,24,251471,1445.39
1145,1145,0,25,309378,173.54
1145,1145,0,26,290704,165.11
1145,1145,0,27,151709,157.75
1145,1145,0,28,151710,1529.17
1145,1145,0,29,292618,584.76
1145,1145,0,30,292616,767.91
1145,1145,0,31,292613,474.28
1145,1145,0,32,292612,1207.32
1145,1145,0,33,292610,258.41
1145,1145,0,34,251472,2473.86
1145,1145,0,35,238232,1984.14
1145,1145,0,36,292608,1937.45
1145,1145,0,37,292606,208.29
1145,1145,0,38,292604,511.9
1145,1145,0,39,292602,1640.25
1145,1145,0,40,190140,1162.39
1145,1145,0,41,292600,253.93
1145,1145,0,42,307628,793.07
1145,1145,0,43,238233,693.68
1145,1145,0,44,292594,182.57
1145,1145,0,45,190579,335.84
1145,1145,0,46,292588,305.9
1145,1145,0,47,292587,688.09
1145,1145,0,48,151718,599.03
1145,1145,0,49,151719,565.9
1145,1145,0,50,290691,422.92
1145,1145,0,51,151720,606.07
1145,1145,0,52,247703,799.9
1145,1145,0,53,292585,378.65
1145,1145,0,54,292582,392.99
1145,1145,0,55,247704,385.68
1145,1145,0,56,292580,296.13
1145,1145,0,57,292577,930.16
1145,1145,0,58,145794,2325.24
1145,1145,0,59,238240,305.68
1145,1145,0,60,292574,1125.28
1145,1145,0,61,292570,4038
1145,1145,0,62,292569,1780.79
1145,1145,0,63,145970,2606.53
1145,1145,0,64,208824,342.28
1145,1145,0,65,292567,545.87
1145,1145,0,66,238243,724.04
1145,1145,0,67,292565,689
1145,1145,0,68,247708,776.77
1145,1145,0,69,247709,689.68
1145,1145,0,70,310457,393.6
1145,1145,0,71,292563,296.79
1145,1145,0,72,292560,187.7
1145,1145,0,73,238247,754.6
1145,1145,0,74,292559,565.15
1145,1145,0,75,238248,622.22
1145,1145,0,76,151727,255.44
1145,1145,0,77,292634,441.58
1145,1145,0,78,308752,939.09
1145,1145,0,79,292632,857.39
1145,1145,0,80,292498,1571.27
1145,1145,0,81,292496,568.8
1145,1145,0,82,151729,874.65
1145,1145,0,83,151730,352.71
1145,1145,0,84,251465,745.57
1145,1145,0,85,238251,346.83
1145,1145,0,86,247649,800.97
1145,1145,0,87,208832,3210.98
1145,1145,0,88,247710,1970.9
1145,1145,0,89,292494,890.44
1145,1145,0,90,308940,1991.18
1145,1145,0,91,238255,788.16
1145,1145,0,92,310454,2621.58
1145,1145,0,93,238256,400.26
1145,1145,0,94,238257,192.25
1145,1145,0,95,238258,336.93
1145,1145,0,96,247712,4791.01
1145,1145,0,97,151737,1115.12
1145,1145,0,98,292482,600.27
1145,1145,0,99,247713,2518.55
1145,1145,0,100,238261,1327.19
1145,1145,0,101,151739,678.72
1145,1145,0,102,247714,549.75
1145,1145,0,103,247715,1088.8
1145,1145,0,104,238264,1515.19
1145,1145,0,105,151740,732.35
1145,1145,0,106,238265,1026.37
1145,1145,0,107,307627,950.08
1145,1145,0,108,273897,475.57
1145,1145,0,109,246304,1892.9
1145,1145,0,110,208842,1026.48
1145,1145,0,111,238266,700.99
1145,1145,0,112,238267,823.98
1145,1145,0,113,237882,362.32
1145,1145,0,114,292480,280.53
1145,1145,0,115,292478,530.86
1145,1145,0,116,237697,362.93
1145,1145,0,117,222481,301.43
1145,1145,0,118,237698,320.79
1145,1145,0,119,222483,414.1
1145,1145,0,120,237699,425.21
1145,1145,0,121,151897,341.65
1145,1145,0,122,222367,488.38
1145,1145,0,123,151753,715.09
1145,1145,0,124,308691,431.07
1145,1145,0,125,151756,444.9
1145,1145,0,126,307559,797.08
1145,1145,1,1,238222,
1145,1145,1,2,275472,3937.87
1145,1145,1,3,151702,810.75
1145,1145,1,4,308942,2691.42
1145,1145,1,5,238223,267.8
1145,1145,1,6,238065,809.99
1145,1145,1,7,302654,1164.97
1145,1145,1,8,238224,951.85
1145,1145,1,9,290680,1756.95
1145,1145,1,10,151704,2075.65
1145,1145,1,11,292627,1446.43
1145,1145,1,12,292626,984.4
1145,1145,1,13,238226,1203.37
1145,1145,1,14,302066,1264.86
1145,1145,1,15,292624,829.58
1145,1145,1,16,292622,182.56
1145,1145,1,17,292620,467.51
1145,1145,1,18,151707,1946.93
1145,1145,1,19,286720,657.65
1145,1145,1,20,277886,726.11
1145,1145,1,21,251470,580.64
1145,1145,1,22,238228,787.91
1145,1145,1,23,238230,1338.41
1145,1145,1,24,251471,1445.39
1145,1145,1,25,309378,173.54
1145,1145,1,26,290704,165.11
1145,1145,1,27,151709,157.75
