搭乘路線名稱,搭乘附屬路線名稱,搭乘公車路線方向,站序資料,站牌代碼,站間距離
101,101,0,1,295300,
101,101,0,2,302749,343.47
101,101,0,3,302751,560.7
101,101,0,4,302752,2642.8
101,101,0,5,302753,702.91
101,101,0,6,302762,965.37
101,101,0,7,302754,622.63
101,101,0,8,302755,257.89
101,101,0,9,302756,507.27
101,101,0,10,295314,668.02
101,101,0,11,302757,494.11
101,101,0,12,295312,406.19
101,101,0,13,295308,556.47
101,101,0,14,295332,578.79
101,101,0,15,295331,1186.89
101,101,0,16,295330,631.94
101,101,0,17,295329,519.96
101,101,0,18,295328,342.25
101,101,0,19,302741,295.42
101,101,0,20,311548,609.43
101,101,0,21,295325,725.91
101,101,0,22,295337,312.59
101,101,0,23,302742,766.65
101,101,0,24,302743,635.92
101,101,0,25,295290,814.14
101,101,0,26,302744,579.72
101,101,0,27,302745,484.24
101,101,0,28,302746,1099.96
101,101,0,29,302747,1075.25
101,101,0,30,302748,585.41
101,101,0,31,308003,320.79
101,101,1,1,295300,
101,101,1,2,302749,343.22
101,101,1,3,302751,560.94
101,101,1,4,302765,1054.75
101,101,1,5,302766,1099.84
101,101,1,6,302767,600.03
101,101,1,7,295291,451.12
101,101,1,8,302769,853.27
101,101,1,9,302770,596.5
101,101,1,10,302771,806.35
101,101,1,11,302772,289.24
101,101,1,12,311549,729.22
101,101,1,13,302773,630.13
101,101,1,14,295328,277.37
101,101,1,15,295329,342.19
101,101,1,16,295330,526.8
101,101,1,17,295331,632.56
101,101,1,18,302774,947.15
101,101,1,19,295308,753.39
101,101,1,20,295312,555.82
101,101,1,21,302758,406.26
101,101,1,22,295314,443.76
101,101,1,23,302759,714.31
101,101,1,24,302760,510.4
101,101,1,25,302761,239.17
101,101,1,26,295341,657.16
101,101,1,27,302763,1005.36
101,101,1,28,302764,718.98
101,101,1,29,302747,2638.63
101,101,1,30,302748,585.42
101,101,1,31,308003,194.1
201,201,0,1,295300,
201,201,0,2,302749,350.15
201,201,0,3,295296,557.54
201,201,0,4,302752,2652.26
201,201,0,5,302753,702.33
201,201,0,6,302762,965.2
201,201,0,7,295306,5535.42
201,201,1,1,295306,
201,201,1,2,295307,962.98
201,201,1,3,295304,1623.27
201,201,1,4,295301,4664.89
201,201,1,5,302763,1005.36
201,201,1,6,302764,717.41
201,201,1,7,295299,2630.78
201,201,1,8,302748,601.89
201,201,1,9,295300,310.66
202,202,0,1,295300,
202,202,0,2,302749,350.15
202,202,0,3,295299,567.15
202,202,0,4,302752,2642.09
202,202,0,5,302753,703.19
202,202,0,6,302762,965.2
202,202,0,7,302754,622.59
202,202,0,8,302755,258.34
202,202,0,9,302778,376.54
202,202,0,10,295308,522.14
202,202,1,1,295308,
202,202,1,2,302779,888.97
202,202,1,3,302760,362.4
202,202,1,4,302761,239.17
202,202,1,5,295301,657.16
202,202,1,6,302763,1005.36
202,202,1,7,302764,718.98
202,202,1,8,295299,2629.22
202,202,1,9,302748,601.92
202,202,1,10,295300,313.48
203,203,0,1,295300,
203,203,0,2,302749,370.68
203,203,0,3,295299,560.99
203,203,0,4,302765,1055.12
203,203,0,5,302766,1100.65
203,203,0,6,295289,275.11
203,203,0,7,295284,1925.3
203,203,0,8,295286,617.41
203,203,0,9,311629,1174.17
203,203,0,10,311631,543.3
203,203,0,11,311633,799.8
203,203,0,12,311634,645.71
203,203,0,13,311650,341.28
203,203,0,14,295308,677.29
203,203,1,1,295308,
203,203,1,2,311655,689.78
203,203,1,3,311668,346.4
203,203,1,4,311670,595.11
203,203,1,5,311632,890.86
203,203,1,6,311630,484.76
203,203,1,7,295287,1182.72
203,203,1,8,295285,606.34
203,203,1,9,295288,1917.55
203,203,1,10,302745,271.77
203,203,1,11,302746,1100.12
203,203,1,12,295299,1065.76
203,203,1,13,302748,594.78
203,203,1,14,295300,599.66
市區循環,市區循環,0,1,295300,
市區循環,市區循環,0,2,302749,350.26 
市區循環,市區循環,0,3,302751,615.94 
市區循環,市區循環,0,4,302752,2644.78 
市區循環,市區循環,0,5,302753,703.07 
市區循環,市區循環,0,6,302762,965.17 
市區循環,市區循環,0,7,302754,622.69 
市區循環,市區循環,0,8,302755,257.58 
市區循環,市區循環,0,9,302756,507.93 
市區循環,市區循環,0,10,295314,667.19 
市區循環,市區循環,0,11,302757,494.71 
市區循環,市區循環,0,12,295312,405.40 
市區循環,市區循環,0,13,295308,556.59 
市區循環,市區循環,0,14,295332,578.62 
市區循環,市區循環,0,15,295331,947.06 
市區循環,市區循環,0,16,295330,633.14 
市區循環,市區循環,0,17,295329,526.98 
市區循環,市區循環,0,18,295328,342.05 
市區循環,市區循環,0,19,302741,284.71 
市區循環,市區循環,0,20,311548,613.85 
市區循環,市區循環,0,21,295325,725.67 
市區循環,市區循環,0,22,295337,312.18 
市區循環,市區循環,0,23,302742,770.01 
市區循環,市區循環,0,24,302743,630.90 
市區循環,市區循環,0,25,295290,814.50 
市區循環,市區循環,0,26,302744,578.82 
市區循環,市區循環,0,27,302745,484.71 
市區循環,市區循環,0,28,302746,1099.00 
市區循環,市區循環,0,29,302747,1073.07 
市區循環,市區循環,0,30,302748,592.40 
市區循環,市區循環,0,31,295300,310.42 
市區循環,市區循環,1,1,295300,
市區循環,市區循環,1,2,302749,350.26
市區循環,市區循環,1,3,302751,615.33
市區循環,市區循環,1,4,302765,1058.19
市區循環,市區循環,1,5,302766,1100.00
市區循環,市區循環,1,6,302767,600.08
市區循環,市區循環,1,7,295291,454.44
市區循環,市區循環,1,8,302769,850.09
市區循環,市區循環,1,9,302770,595.68
市區循環,市區循環,1,10,302771,806.87
市區循環,市區循環,1,11,302772,288.56
市區循環,市區循環,1,12,311549,729.62
市區循環,市區循環,1,13,302773,630.14
市區循環,市區循環,1,14,295328,277.15
市區循環,市區循環,1,15,295329,342.04
市區循環,市區循環,1,16,295330,526.98
市區循環,市區循環,1,17,295331,633.13
市區循環,市區循環,1,18,302774,945.80
市區循環,市區循環,1,19,295308,754.03
市區循環,市區循環,1,20,295312,556.55
市區循環,市區循環,1,21,302758,406.17
市區循環,市區循環,1,22,295314,494.00
市區循環,市區循環,1,23,302759,663.41
市區循環,市區循環,1,24,302760,510.19
市區循環,市區循環,1,25,302761,237.95
市區循環,市區循環,1,26,295341,658.95
市區循環,市區循環,1,27,302763,1004.89
市區循環,市區循環,1,28,302764,715.39
市區循環,市區循環,1,29,302747,2640.48
市區循環,市區循環,1,30,302748,592.33
市區循環,市區循環,1,31,308003,310.42
陸海空線,陸海空線A,0,1,295300,
陸海空線,陸海空線A,0,2,302749,350.26 
陸海空線,陸海空線A,0,3,295296,556.43 
陸海空線,陸海空線A,0,4,302752,2652.63 
陸海空線,陸海空線A,0,5,302753,702.76 
