搭乘路線名稱,搭乘附屬路線名稱,搭乘公車路線方向,站序資料,站牌代碼,站間距離
1121,1121,0,1,307560,
1121,1121,0,2,182645,844.19
1121,1121,0,3,182646,195.89
1121,1121,0,4,182648,681.85
1121,1121,0,5,151863,717.13
1121,1121,0,6,151864,461.59
1121,1121,0,7,237662,362.51
1121,1121,0,8,152283,432.31
1121,1121,0,9,237663,438.89
1121,1121,0,10,182656,296.85
1121,1121,0,11,237664,293.11
1121,1121,0,12,274233,1130.36
1121,1121,0,13,182658,1183.16
1121,1121,0,14,237666,2233.77
1121,1121,0,15,222385,947.1
1121,1121,0,16,274056,2148.42
1121,1121,0,17,237669,829.23
1121,1121,0,18,237670,603.01
1121,1121,0,19,222386,612.38
1121,1121,0,20,182661,744.11
1121,1121,0,21,222388,544.22
1121,1121,0,22,296644,3020.62
1121,1121,0,23,305928,1014.92
1121,1121,0,24,305930,267.81
1121,1121,0,25,305931,1328.52
1121,1121,0,26,182663,3033.1
1121,1121,0,27,222390,854.26
1121,1121,0,28,182667,751.93
1121,1121,0,29,237671,443.9
1121,1121,0,30,307616,676.57
1121,1121,0,31,182668,1876.94
1121,1121,0,32,307617,5785.87
1121,1121,0,33,182669,1066.85
1121,1121,0,34,222396,4386.17
1121,1121,0,35,222397,372.84
1121,1121,0,36,307618,1242.83
1121,1121,0,37,237672,436.06
1121,1121,0,38,182674,2651.89
1121,1121,0,39,222401,442.81
1121,1121,0,40,290667,1007.01
1121,1121,0,41,222403,1754.42
1121,1121,0,42,274235,536.44
1121,1121,0,43,182679,385.35
1121,1121,0,44,182680,453.09
1121,1121,0,45,222408,1413.09
1121,1121,0,46,222454,448.47
1121,1121,0,47,222410,332.9
1121,1121,0,48,222411,354.39
1121,1121,0,49,182686,297.59
1121,1121,0,50,237674,238.92
1121,1121,0,51,237675,588.96
1121,1121,0,52,274236,621.43
1121,1121,0,53,182687,487.96
1121,1121,0,54,222414,623.02
1121,1121,0,55,237677,594.83
1121,1121,0,56,237678,1363.38
1121,1121,0,57,222415,280.57
1121,1121,0,58,307620,1197.34
1121,1121,0,59,237679,949.02
1121,1121,0,60,182692,3429.89
1121,1121,0,61,222419,877.78
1121,1121,0,62,182694,1031.85
1121,1121,0,63,222421,520.32
1121,1121,0,64,222422,636.7
1121,1121,1,1,222422,
1121,1121,1,2,182698,727.85
1121,1121,1,3,182699,440.68
1121,1121,1,4,222444,1019.84
1121,1121,1,5,246294,863.7
1121,1121,1,6,237682,1471.39
1121,1121,1,7,307621,980.38
1121,1121,1,8,222448,1221.52
1121,1121,1,9,237683,276.14
1121,1121,1,10,237684,1426.49
1121,1121,1,11,182705,556.13
1121,1121,1,12,246272,646.7
1121,1121,1,13,274237,495.45
1121,1121,1,14,237686,602.06
1121,1121,1,15,237687,596.16
1121,1121,1,16,222451,239.48
1121,1121,1,17,222452,297.66
1121,1121,1,18,182709,354.02
1121,1121,1,19,222409,331.55
1121,1121,1,20,182711,394.39
1121,1121,1,21,182713,1473.61
1121,1121,1,22,182714,445.94
1121,1121,1,23,274060,403.89
1121,1121,1,24,182716,592.57
1121,1121,1,25,290667,1722.37
