搭乘路線名稱,搭乘附屬路線名稱,搭乘公車路線方向,站序資料,站牌代碼,站間距離
301,301,0,1,298840,
301,301,0,2,298839,619.11
301,301,0,3,298837,332.34
301,301,0,4,298835,425.36
301,301,0,5,298833,367.66
301,301,0,6,298829,681.03
301,301,0,7,298827,367.44
301,301,0,8,298825,530.41
301,301,0,9,298823,450.72
301,301,0,10,298821,371.17
301,301,0,11,298819,325.68
301,301,0,12,298817,330.68
301,301,0,13,298815,462.91
301,301,0,14,298813,873.53
301,301,0,15,298811,672.81
301,301,0,16,298809,496.72
301,301,0,17,298807,518.03
301,301,0,18,302885,1010.95
301,301,0,19,298805,325.95
301,301,0,20,298803,969.47
301,301,0,21,298801,5312.12
301,301,0,22,298799,1001.83
301,301,0,23,300465,192.62
301,301,0,24,302887,369.08
301,301,0,25,300467,402.97
301,301,0,26,300470,266.63
301,301,1,1,300470,
301,301,1,2,300469,239.37
301,301,1,3,302888,423.61
301,301,1,4,300466,540.47
301,301,1,5,303573,415.28
301,301,1,6,298800,1059.87
301,301,1,7,298802,5354.85
301,301,1,8,298804,971.07
301,301,1,9,302886,439.45
301,301,1,10,298806,924.69
301,301,1,11,298808,471.69
301,301,1,12,298810,503.34
301,301,1,13,298812,721.54
301,301,1,14,298814,839.56
301,301,1,15,298816,448.64
301,301,1,16,298818,329.12
301,301,1,17,298820,322.67
301,301,1,18,298822,375.22
301,301,1,19,298824,445.87
301,301,1,20,298826,523.29
301,301,1,21,298828,378.36
301,301,1,22,298832,704.75
301,301,1,23,298834,326.81
301,301,1,24,298836,446.47
301,301,1,25,298838,316.95
301,301,1,26,298840,535.48
302,302,0,1,298866,
302,302,0,2,300899,762.49
302,302,0,3,300901,431.32
302,302,0,4,300903,1422.47
302,302,0,5,300905,544.99
302,302,0,6,298869,815.9
302,302,0,7,298871,759.75
302,302,0,8,298873,1267.18
302,302,0,9,298875,4338.71
302,302,0,10,298877,1988.75
302,302,0,11,293379,4478.1
302,302,0,12,298881,2336.57
302,302,0,13,298883,547.34
302,302,0,14,298885,1963.51
302,302,1,1,307517,
302,302,1,2,298884,2020.55
302,302,1,3,298882,582.38
302,302,1,4,293383,2287.06
302,302,1,5,298878,4490.01
302,302,1,6,298876,1929.97
302,302,1,7,298874,3825.61
302,302,1,8,298871,2943.81
302,302,1,9,298870,806.35
302,302,1,10,300906,830.54
302,302,1,11,300904,549.13
302,302,1,12,300902,1462.3
302,302,1,13,300900,390.77
302,302,1,14,298866,608.38
302,302A,0,1,298867,
302,302A,0,2,309753,881.97
302,302A,0,3,309754,960.45
302,302A,0,4,309755,265.77
302,302A,0,5,309756,212.69
302,302A,0,6,309757,208.68
302,302A,0,7,309758,174.82
302,302A,0,8,309759,406.45
302,302A,0,9,300899,273.78
302,302A,0,10,309760,1263.07
302,302A,0,11,309761,555.39
302,302A,0,12,309762,578.83
302,302A,0,13,309763,569.05
302,302A,0,14,309764,896.53
302,302A,0,15,309765,846.49
302,302A,0,16,309766,628.44
302,302A,0,17,309767,802.67
302,302A,0,18,309768,580.65
302,302A,0,19,309769,164.84
302,302A,0,20,309770,760.24
302,302A,0,21,309771,2098.45
302,302A,0,22,309772,787.39
302,302A,0,23,309773,709.71
302,302A,0,24,309774,639.55
302,302A,0,25,309775,197.18
302,302A,0,26,309776,585.52
302,302A,0,27,298867,863.49
302,302A,1,1,298867,
302,302A,1,2,309753,881.97
302,302A,1,3,309777,565.37
302,302A,1,4,309778,247.76
302,302A,1,5,309764,580.25
302,302A,1,6,309765,790.49
302,302A,1,7,309766,628.44
302,302A,1,8,309767,802.67
302,302A,1,9,309768,580.65
302,302A,1,10,309769,164.84
302,302A,1,11,309770,760.24
302,302A,1,12,309766,2174.68
302,302A,1,13,309772,1129.32
302,302A,1,14,309773,709.71
302,302A,1,15,309779,966.82
302,302A,1,16,309780,582.38
302,302A,1,17,309781,569.88
302,302A,1,18,309782,542.68
302,302A,1,19,300900,1264.09
302,302A,1,20,309786,261.05
302,302A,1,21,309787,438.68
302,302A,1,22,309788,161.55
302,302A,1,23,309789,244.47
302,302A,1,24,309790,179.59
302,302A,1,25,309754,259.41
302,302A,1,26,309776,976
302,302A,1,27,298867,863.49
303,303,0,1,300650,
303,303,0,2,290453,396.4
303,303,0,3,308495,595.99
303,303,0,4,308497,450.84
303,303,0,5,308499,1793.34
303,303,0,6,308501,2136.72
303,303,0,7,305082,466.07
303,303,0,8,301548,593.64
303,303,0,9,308503,499.79
303,303,0,10,308505,327.51
303,303,0,11,308507,2174.46
303,303,0,12,308509,303.39
303,303,0,13,308511,301.35
303,303,0,14,308513,451.92
303,303,0,15,308515,1949.36
303,303,0,16,308517,2330.89
303,303,0,17,308518,1200.55
303,303,0,18,300658,1759.25
303,303,0,19,300659,1182.81
303,303,0,20,308520,4540.85
