RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopUID,StopID,StopName,StopBoarding,StopSequence,PositionLon,PositionLat,StationID,LocationCityCode,Dist_Cum,Dist_Intv
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295300,295300,台東火車站,1,1,121.123278,22.792928,132558,TTT,0,NA
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302749,302749,拖吊場,0,2,121.124802,22.791078,138119,TTT,350.2641,350.2641
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302751,302751,棒球場,0,3,121.127768,22.787946,138120,TTT,966.2038448,615.9397448
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302752,302752,寶桑國中,0,4,121.144854,22.771898,138121,TTT,3610.984247,2644.780402
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302753,302753,浙江路口,0,5,121.149403,22.767152,138122,TTT,4314.058337,703.0740902
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302762,302762,台東森林公園,0,6,121.157473,22.762781,138131,TTT,5279.223986,965.1656483
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302754,302754,天天來,0,7,121.153874,22.758685,138123,TTT,5901.911767,622.6877815
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302755,302755,吳外科,0,8,121.152168,22.756974,138124,TTT,6159.492343,257.5805755
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302756,302756,中華會館,0,9,121.155737,22.753945,138125,TTT,6667.425519,507.9331765
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295314,295314,海濱公園,0,10,121.15759,22.749993,132570,TTT,7334.619195,667.1936756
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302757,302757,大同路郵局,0,11,121.154135,22.752493,138126,TTT,7829.324404,494.7052095
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295312,295312,中華正氣路口,0,12,121.151352,22.752415,132568,TTT,8234.728423,405.4040185
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295308,295308,台東轉運站,0,13,121.147423,22.752008,132566,TTT,8791.314924,556.5865014
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295332,295332,體育場(鐵花村),0,14,121.14457,22.753161,132585,TTT,9369.939887,578.6249625
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295331,295331,馬偕醫院,0,15,121.141468,22.751007,132584,TTT,10317.00294,947.0630508
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295330,295330,後期聖徒教會,0,16,121.139129,22.755973,132583,TTT,10950.14088,633.1379451
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295329,295329,台東高商,0,17,121.143776,22.75719,132582,TTT,11477.11923,526.9783481
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295328,295328,聖母醫院,0,18,121.146798,22.757099,132581,TTT,11819.16944,342.0502124
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302741,302741,縣民服務中心,0,19,121.148851,22.757362,138111,TTT,12103.87524,284.7057988
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT311548,311548,地方法院,0,20,121.1528,22.76146,144912,TTT,12717.72228,613.847042
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295325,295325,美術館(地檢署),0,21,121.148901,22.763659,132578,TTT,13443.39053,725.6682503
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295337,295337,基督教醫院,0,22,121.145857,22.763658,132590,TTT,13755.57089,312.1803588
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302742,302742,開封長安街口,0,23,121.139557,22.760607,138112,TTT,14525.57746,770.0065677
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302743,302743,新生郵局,0,24,121.13549,22.764108,138113,TTT,15156.47474,630.8972809
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295290,295290,台東糖廠,0,25,121.129111,22.76742,132550,TTT,15970.97346,814.4987226
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302744,302744,東方大鎮,0,26,121.123887,22.768835,138114,TTT,16549.78889,578.8154213
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302745,302745,娜路彎大酒店,0,27,121.121748,22.770365,138115,TTT,17034.49598,484.7070949
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302746,302746,卑南入口,0,28,121.127132,22.77852,138116,TTT,18133.49406,1098.998084
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302747,302747,棒球場,0,29,121.127573,22.78802,138117,TTT,19206.56386,1073.069798
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT302748,302748,拖吊場,0,30,121.124715,22.790934,138118,TTT,19798.96303,592.3991648
TTT0981,981,市區循環,TTT098101,98101,市區循環,0,TTT295300,295300,台東火車站,-1,31,121.123278,22.792928,132558,TTT,20109.38468,310.421656
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT295300,295300,台東火車站,1,1,121.123278,22.792928,132558,TTT,0,NA
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302749,302749,拖吊場,0,2,121.124802,22.791078,138119,TTT,350.2641,350.2641
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302751,302751,棒球場,0,3,121.127768,22.787946,138120,TTT,965.5942188,615.3301188
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302765,302765,卑南入口,0,4,121.126988,22.778552,138134,TTT,2023.788473,1058.194255
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302766,302766,娜路彎大酒店,0,5,121.121533,22.77043,138135,TTT,3123.791436,1100.002962
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302767,302767,東方大鎮,0,6,121.124902,22.768877,138136,TTT,3723.870951,600.0795153
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT295291,295291,台東糖廠,0,7,121.129022,22.767674,132551,TTT,4178.315584,454.4446331
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302769,302769,新生郵局,0,8,121.135525,22.763948,138137,TTT,5028.404359,850.0887749
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302770,302770,開封長安街口,0,9,121.13943,22.760394,138138,TTT,5624.081255,595.6768957
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302771,302771,基督教醫院,0,10,121.145967,22.763526,138139,TTT,6430.949636,806.8683812
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302772,302772,美術館(地檢署),0,11,121.148784,22.763576,138140,TTT,6719.511395,288.5617594
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT311549,311549,地方法院,0,12,121.15278,22.76158,144913,TTT,7449.135846,729.624451
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302773,302773,縣民服務中心,0,13,121.148694,22.757353,138141,TTT,8079.273947,630.138101
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT295328,295328,聖母醫院,0,14,121.146798,22.757099,132581,TTT,8356.424438,277.1504904
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT295329,295329,台東高商,0,15,121.143776,22.75719,132582,TTT,8698.463042,342.0386042
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT295330,295330,後期聖徒教會,0,16,121.139129,22.755973,132583,TTT,9225.44139,526.9783481
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT295331,295331,馬偕醫院,0,17,121.141468,22.751007,132584,TTT,9858.569274,633.1278843
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302774,302774,體育場(鐵花村),0,18,121.144601,22.75315,138142,TTT,10804.3699,945.8006268
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT295308,295308,台東轉運站,0,19,121.147423,22.752008,132566,TTT,11558.39727,754.0273716
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT295312,295312,中華正氣路口,0,20,121.151352,22.752415,132568,TTT,12114.9468,556.5495304
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302758,302758,大同路郵局,0,21,121.15411,22.752463,138127,TTT,12521.11935,406.1725494
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT295314,295314,海濱公園,0,22,121.15759,22.749993,132570,TTT,13015.11666,493.9973061
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302759,302759,中華會館,0,23,121.155725,22.753879,138128,TTT,13678.53091,663.4142514
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302760,302760,吳外科,0,24,121.152255,22.756899,138129,TTT,14188.72248,510.1915733
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302761,302761,天天來,0,25,121.15382,22.758495,138130,TTT,14426.66923,237.9467514
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT295341,295341,台東森林公園,0,26,121.158101,22.762915,132559,TTT,15085.62291,658.9536793
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302763,302763,浙江路口,0,27,121.149874,22.767269,138132,TTT,16090.50931,1004.886398
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302764,302764,寶桑國中,0,28,121.144751,22.771658,138133,TTT,16805.90259,715.3932761
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302747,302747,棒球場,0,29,121.127573,22.78802,138117,TTT,19446.38451,2640.481926
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT302748,302748,拖吊場,0,30,121.124715,22.790934,138118,TTT,20038.71271,592.3281936
TTT0981,981,市區循環,TTT098102,98102,市區循環,1,TTT308003,308003,台東火車站,-1,31,121.12346,22.79372152,142233,TTT,20349.13441,310.4217
TTT0982,982,陸海空線,TTT0982A1,0982A1,陸海空線A,0,TTT295300,295300,台東火車站,1,1,121.123278,22.792928,132558,TTT,0,NA
TTT0982,982,陸海空線,TTT0982A1,0982A1,陸海空線A,0,TTT302749,302749,拖吊場,0,2,121.124802,22.791078,138119,TTT,350.2640923,350.2640923
TTT0982,982,陸海空線,TTT0982A1,0982A1,陸海空線A,0,TTT295296,295296,棒球場,0,3,121.127573,22.78802,132556,TTT,906.6954363,556.431344
TTT0982,982,陸海空線,TTT0982A1,0982A1,陸海空線A,0,TTT302752,302752,寶桑國中,0,4,121.144854,22.771898,138121,TTT,3559.321386,2652.62595
TTT0982,982,陸海空線,TTT0982A1,0982A1,陸海空線A,0,TTT302753,302753,浙江路口,0,5,121.149403,22.767152,138122,TTT,4262.080908,702.7595214
TTT0982,982,陸海空線,TTT0982A1,0982A1,陸海空線A,0,TTT302762,302762,台東森林公園,0,6,121.157473,22.762781,138131,TTT,5227.246556,965.1656483
TTT0982,982,陸海空線,TTT0982A1,0982A1,陸海空線A,0,TTT295306,295306,富岡港口,-1,7,121.19274,22.79193,132564,TTT,9944.968138,4717.721582
